uf	Sigla	Nome	Código de unidade geográfica	PIB1998	PIB1999	PIB2000	PIB2001	PIB2002	PIB2003	PIB2004	PIB2005	PIB2006
12	AC	Acre	AC	1674136,3	1653388	1702620,9	1762689,9	2381088,6	2412166,3	2662080	2824994,4	2870212,2
27	AL	Alagoas	AL	7073200,3	6826240,8	7022922,8	6946242,3	8145230	8181870,4	8708839	8910169,2	9352167,7
13	AM	Amazonas	AM	17400108,4	16515645,9	18872885	19029457,9	18088745,9	18230944,6	20479981,7	21017463,4	23251491,8
16	AP	Amapá	AP	1729009	1681849,8	1968365,5	2067615,5	2732287,7	2506569,3	2598445,6	2748325,4	3122712,6
29	BA	Bahia	BA	44642432,4	44637060,6	48197173,8	47949193	50363425	49740734,7	53428687,1	57294493,6	57323218,3
23	CE	Ceará	CE	21694890	20716157,6	20799548	19805009,8	23986596,4	23769665,4	24906881,6	25796100,4	27492347
53	DF	Distrito Federal	DF	28931942,1	23631273,9	29587137,3	30331237,5	46599889,1	46060539,6	47781263,1	50745328	53209851,8
32	ES	Espírito Santo	ES	20005720,1	19931762,2	21530247,3	20683228	22210077,4	22673541,4	27170903,5	29758178	31334528,2
52	GO	Goiás	GO	20073568,9	19026823,3	21665356,3	22986757,7	31058851,8	31266466,3	32442988,7	31845188,2	33892600,1
21	MA	Maranhão	MA	8320187,4	8407528,4	9206844,8	9445979,4	12823958,5	13491040,4	14596068,2	15965059,1	16991420,5
31	MG	Minas Gerais	MG	103074062,9	99539506,7	106168725,2	104186279,4	106071189,2	108626396,4	119800777	121395176	127526288,2
50	MS	Mato Grosso do Sul	MS	11574939,5	11574421,6	11861168,4	12605575,1	12578889,4	14067943,2	14258668,2	13643684,3	14458835,1
51	MT	Mato Grosso	MT	11404352,6	12424073,3	13428289,5	13263220,1	17383080,4	20356052,1	24970962,1	23609850,3	20946995,1
15	PA	Pará	PA	17935704,2	17703915,6	18913684,3	19958133,6	21299513,1	21717985,4	24026285	24652905,9	26344137,9
25	PB	Paraíba	PB	8364116,4	8426921,6	9237736,8	9426548,5	10321326,5	10333864,4	10149143,8	10630083,3	11845579,8
26	PE	Pernambuco	PE	28576253,2	27628913,2	29126795,6	29113992,1	29262019	28691392,6	29733799,8	31459106,7	32951074,8
22	PI	Piauí	PI	5082310,1	5026231,4	5329536,4	5115853,9	6163550	6406402,5	6632193,4	7013271	7593152,6
41	PR	Paraná	PR	65419791,9	65536844,8	65968713,3	66781338,8	73386318,1	79894506,7	82716319	79827741,7	81142009,8
33	RJ	Rio de Janeiro	RJ	115929492	121487512,4	137876530,8	135850183,2	142255124,3	137232932,3	150621834,3	155662646	163471963
24	RN	Rio Grande do Norte	RN	7883404,4	8120208,8	9293319,3	9024339,3	10125134,8	9864726,3	10526166,7	11260804,6	12203673,1
11	RO	Rondônia	RO	5311134,3	5333652,5	5624964,1	5582222,7	6458043,6	7117164,6	7607550,5	8119119,5	7782943,2
14	RR	Roraima	RR	859679,7	867672,9	1116580,6	1118661,6	1919717,2	1997750,4	1899167,2	2003486,4	2172888,4
43	RS	Rio Grande do Sul	RS	81249610,5	80111274,3	85137542,6	86341329,3	87564134,1	90910508,5	93118511	90881754,3	93135010,6
42	SC	Santa Catarina	SC	37357308,2	37886033,5	42428003,7	42704720,7	46262769,7	48793033,9	52286762,2	53763622,4	55313422,1
28	SE	Sergipe	SE	5794094,4	5770074	5920725,1	7528825,9	7848091,8	7936859,1	8220324,2	8461546,5	8979645,5
35	SP	São Paulo	SP	373356350,8	361301755,5	370818992,1	367657245,4	424789694,5	423232771,1	434740625,5	458122388,3	476443208,3
17	TO	Tocantins	TO	2236180,2	2236275,8	2450497,9	2814128,5	4654489	5285344,4	5592498,3	5709909,3	5703135,7
